site,location,sensor,type,easting,northing,borehole depth,set pressure,comment
A,1N Inby,BP1,BPC,10448,4619,15.2,1550,
A,1N Inby,BP2,BPC,10444,4605,30.5,1450,
A,1N Inby,BP3,BPC,10436,4575,70,1700,
A,1N Inby,SP1,BPC,10459,4650,2.3,1500,
A,1N Inby,SP2,BPC,10460,4656,5.3,1550,
A,1N Inby,SP3,BPC,10461,4659,11.1,1500,
A,1N Inby,SP4,BPC,10451,4646,5.3,1750,
A,1N Inby,SP5,BPC,10451,4643,2.3,1750,
A,1N Inby,NP1,BPC,10464,4669,2.3,1550,
A,1N Inby,NP2,BPC,10464,4672,5.3,1600,
A,1N Inby,NP3,BPC,10466,4678,11.1,1400,
A,1N Inby,NP4,BPC,10459,4677,8.6,1350,
A,1N Inby,NP5,BPC,10462,4688,19.9,1450,
A,1N Inby,A,Closure,10452,4637,,,
A,1N Inby,B,Closure,10459,4665,,,
A,1N Inby,C,Closure,10467,4692,,,
A,1N Inby,D,Closure,10482,4629,,,
A,1N Inby,E,Closure,10485,4643,,,
A,1N Inby,F,Closure,10489,4657,,,
A,1N Inby,G,Closure,10493,4671,,,
A,1N Inby,H,Closure,10496,4684,,,
B,1N Outby,BP1,BPC,11745,4281,15.2,2650,
B,1N Outby,BP2,BPC,11742,4266,30.5,2650,
B,1N Outby,BP3,BPC,11734,4238,59.4,2650,
B,1N Outby,SP1,BPC,11759,4231,2.3,2650,
B,1N Outby,SP2,BPC,11758,4318,5.3,2650,
B,1N Outby,SP3,BPC,11757,4312,11.1,2650,
B,1N Outby,SP4,BPC,11749,4308,5.3,2850,Is this set pressure correct? It seems odd that it's the only one
B,1N Outby,SP5,BPC,11749,4305,2.3,2650,
B,1N Outby,NP1,BPC,11761,4331,2.3,2650,
B,1N Outby,NP2,BPC,11762,4334,5.3,2650,
B,1N Outby,NP3,BPC,11764,4339,11.1,2650,
B,1N Outby,NP4,BPC,11759,4347,16.9,2650,
B,1N Outby,NP5,BPC,11760,4350,20,2650,
B,1N Outby,M1-1,SP,11794,4346,,,
B,1N Outby,M2-1,SP,11791,4332,,,
B,1N Outby,M3-1,SP,11787,4319,,,
B,1N Outby,M4-1,SP,11783,4305,,,
B,1N Outby,M5-1,SP,11780,4291,,,
B,1N Outby,A,Closure,11750,4299,,,
B,1N Outby,B,Closure,11757,4327,,,
B,1N Outby,C,Closure,11764,4354,,,
B,1N Outby,D,Closure,11780,4291,,,
B,1N Outby,E,Closure,11783,4305,,,
B,1N Outby,F,Closure,11787,4319,,,
B,1N Outby,G,Closure,11791,4332,,,
B,1N Outby,1N XC 5 Roof,Core,11961,4244,,,
B,1N Outby,1N XC 5 Roof (+30),Core,11961,4244,,,
B,1N Outby,1N 2E Floor,Core,11757,4327,,,
C,2N Inby,BP1,BPC,10510,5105,45.7,1950,
C,2N Inby,BP2,BPC,10506,5090,30.5,1950,
C,2N Inby,BP3,BPC,10499,5065,4.6,1950,
C,2N Inby,NP1,BPC,10481,5007,2.3,1950,
C,2N Inby,NP2,BPC,10482,5010,5.3,2150,
C,2N Inby,NP3,BPC,10485,5016,11.4,1950,
C,2N Inby,NP4,BPC,10489,5030,25.9,2250,
C,2N Inby,NP5,BPC,10496,5043,11.4,2050,
C,2N Inby,NP6,BPC,10497,5049,5.3,1950,
C,2N Inby,NP7,BPC,10498,5052,2.3,1850,
C,2N Inby,SP1,BPC,10478,4997,2.3,2350,
C,2N Inby,SP2,BPC,10478,4995,4.6,2050,
C,2N Inby,SP3,BPC,10477,4992,6.9,1400,
C,2N Inby,SP4,BPC,10478,4982,16.8,1850,
C,2N Inby,SP5,BPC,10477,4978,21.3,1900,
C,2N Inby,SP6,BPC,10482,4990,8.2,1850,
C,2N Inby,SP7,BPC,10471,4950,49.4,1850,
C,2N Inby,A,Closure,10483,5001,,,
C,2N Inby,B,Closure,10497,5057,,,
C,2N Inby,C,Closure,10504,4966,,,
C,2N Inby,D,Closure,10512,4994,,,
C,2N Inby,E,Closure,10519,5022,,,
C,2N Inby,F,Closure,10527,5050,,,
C,2N Inby,1,MPBX,10483,5001,,,
C,2N Inby,2,MPBX,10512,4994,,,
C,2N Inby,3,MPBX,10519,5022,,,
C,2N Inby,4,MPBX,10527,5050,,,
D,2N Outby,BP1,BPC,11629,4805,38.4,2650,
D,2N Outby,BP2,BPC,11627,4798,30.5,2650,
D,2N Outby,BP3,BPC,11623,4783,15.2,2650,
D,2N Outby,NP1,BPC,11602,4715,2.3,2650,
D,2N Outby,NP2,BPC,11603,4718,5.3,2650,
D,2N Outby,NP3,BPC,11606,4724,11.4,2650,
D,2N Outby,NP4,BPC,11610,4738,25.9,2650,
D,2N Outby,NP5,BPC,11614,4751,11.4,2650,
D,2N Outby,NP6,BPC,11616,4757,5.3,2650,
D,2N Outby,NP7,BPC,11617,4760,2.3,2650,
D,2N Outby,SP1,BPC,11599,4705,2.3,2650,
D,2N Outby,SP2,BPC,11599,4703,4.6,0,
D,2N Outby,SP3,BPC,11598,4700,6.9,0,
D,2N Outby,SP4,BPC,11598,4690,16.8,2650,
D,2N Outby,SP5,BPC,11597,4686,21.3,2650,
D,2N Outby,SP6,BPC,11603,4698,8.2,2650,
D,2N Outby,SP7,BPC,11592,4658,49.4,2650,
D,2N Outby,M1,SP,11604,4709,,,
D,2N Outby,M2,SP,11626,4674,,,
D,2N Outby,M3,SP,11633,4702,,,
D,2N Outby,M4,SP,11640,4730,,,
D,2N Outby,M5,SP,11677,4750,,,
D,2N Outby,2N XC 11 Roof,Core,11640,4730,,,
D,2N Outby,2N XC 11 Roof (+30),Core,11640,4730,,,
D,2N Outby,2N XC 11 Floor,Core,11640,4730,,,
D,2N Outby,A,Closure,11589,4653,,,
D,2N Outby,B,Closure,11604,4709,,,
D,2N Outby,C,Closure,11618,4765,,,
D,2N Outby,D,Closure,11618,4646,,,
D,2N Outby,E,Closure,11626,4674,,,
D,2N Outby,F,Closure,11633,4702,,,
D,2N Outby,G,Closure,11640,4730,,,
D,2N Outby,H,Closure,11677,4750,,,
D,2N Outby,Can A,Support Can,11728,4734,,,
D,2N Outby,Can B,Support Can,11729,4738,,,
D,2N Outby,Can C,Support Can,11736,4733,,,
D,2N Outby,Can D,Support Can,11736,4736,,,
D,2N Outby,Can E,Support Can,11743,4731,,,
D,2N Outby,Can F,Support Can,11744,4734,,,
D,2N Outby,Can G,Support Can,11704,4741,,,
D,2N Outby,Can H,Support Can,11709,4743,,,
D,2N Outby,Can I,Support Can,11708,4740,,,
D,2N Outby,Can J,Support Can,11705,4744,,,
D,2N Outby,Manual 1,Roof-Floor Closure,11741,4732,,,
D,2N Outby,Manual 2,Roof-Floor Closure,11729,4735,,,
D,2N Outby,Manual 3,Roof-Floor Closure,11709,4743,,,
D,2N Outby,Manual 4,Roof-Floor Closure,11705,4742,,,
D,2N Outby,Intersection 9,Roof-Floor Closure,11705,4740,,,
D,2N Outby,Intersection 10,Roof-Floor Closure,11706,4744,,,
D,2N Outby,Mid-pillar 7,Roof-Floor Closure,11741,4735,,,
D,2N Outby,Mid-pillar 8,Roof-Floor Closure,11737,4736,,,
D,2N Outby,Mid-pillar 9,Roof-Floor Closure,11733,4737,,,
D,2N Outby,Mid-pillar 10,Roof-Floor Closure,11730,4737,,,
